Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,"Herbert, Frank",,"=""0441172695""","=""9780441172696""",2,3.85,Ace Books,Mass Market Paperback,331,1987,1969,,2007/11/29,scifi,scifi (#34),read,,,,,,,0,,,,,
53732,Dune,Frank Herbert,"Herbert, Frank",,"=""0441172717""","=""9780441172719""",5,4.19,Ace/Berkley Books,Paperback,535,1990,1965,2004/01/01,2007/11/29,scifi,scifi (#33),read,,,,,,,0,,,,,
4395,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""0142000663""","=""9780142000663""",5,3.92,Penguin Books,Paperback,455,2002,1939,1998/01/01,2007/11/29,american,american (#25),read,,,,,,,0,,,,,
153747,"Moby-Dick; or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk","=""0142437247""","=""9780142437247""",3,3.46,Penguin Classics,Paperback,720,2003,1851,1996/01/01,2007/11/29,"american, classics, league-of-extraordinary-gentlemen","american (#21), classics (#38), league-of-extraordinary-gentlemen (#66)",read,,,,,,,0,,,,,
178629,Benito Cereno,Herman Melville,"Melville, Herman",Wyn Kelley,"=""031245242X""","=""9780312452421""",4,3.59,Bedford/St. Martin's,Paperback,160,2006,1855,1999/01/01,2007/11/29,"american, classics, for-school","american (#20), classics (#36), for-school (#36)",read,,,,,,,0,,,,,
46167,A Farewell To Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""0684801469""","=""9780684801469""",2,3.78,Charles Scribner's Sons,Paperback,332,1957,1929,1999/01/01,2007/11/29,"for-school, american","for-school (#28), american (#16)",read,,,,,,,0,,,,,
386299,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",4,3.72,Scribner,Paperback,128,1995,1952,2000/01/01,2007/11/29,"american, for-school","american (#14), for-school (#26)",read,,,,,,,0,,,,,
12467,The Naked and the Dead,Norman Mailer,"Mailer, Norman",,"=""0312265050""","=""9780312265052""",3,3.94,Picador,Paperback,721,2000,1948,2000/01/01,2007/11/29,"american, for-school","american (#13), for-school (#25)",read,,,,,,,0,,,,,
2933,Robinson Crusoe,Daniel Defoe,"Defoe, Daniel",John J. Richetti,"=""0141439823""","=""9780141439822""",3,3.66,Penguin Classics,Paperback,286,2003,1719,1998/01/01,2007/11/29,"classics, british, for-school","classics (#31), british (#7), for-school (#22)",read,,,,,,,0,,,,,
22328,Neuromancer,William Gibson,"Gibson, William",,"=""0441569595""","=""9780441569595""",5,3.87,Ace Books,Mass Market Paperback,271,1984,1984,1998/01/01,2007/11/29,"hugo-nebula, cyberpunk, for-school, scifi","hugo-nebula (#7), cyberpunk (#4), for-school (#11), scifi (#24)",read,,,,,,,0,,,,,
